date,close,vwap,volume_tons,turnover_cny,cum_turnover_cny,is_open,is_quiet,has_trade,Guangdong_GDP_Cumulative_ffill_daily_15,Guangdong_ElectricityConsumption_Monthly_ffill_daily_15,Guangdong_IndustrialAddedValue_RealPrices_AboveScaleIndustry_YoY_ffill_daily_15,China_Output_CrudeOilProcessing_Monthly_ffill_daily_15,SpotPrice_ThermalCoal_ARA_Europe_ffill_daily_1,Hubei_ElectricityConsumption_Monthly_ffill_daily_15,FuturesSettle(Cont)_BrentCrude_ffill_daily_1,Hubei_IndustrialAddedValue_RealPrices_AboveScaleIndustry_YoY_ffill_daily_15,FuturesClose(Cont)_NYMEX_NatGas_ffill_daily_1,China_Output_CrudeSteel_Monthly_ffill_daily_15,SpotPrice_ThermalCoal_欧洲ARA港_ffill_daily_1,China_ElectricityGeneration_ThermalPower_Monthly_ffill_daily_15,China_TotalSocialFinancing_Monthly_ffill_daily_15,FuturesSettle(Cont)_EUA_Futures_ffill_daily_1,China_CPI_YoY_ffill_daily_15,China_TotalElectricityConsumption_Monthly_ffill_daily_15,China_Output_RawCoal_Monthly_ffill_daily_15,Hubei_GDP_Cumulative_ffill_daily_15,China_GDP_CurrentPrices_Cumulative_ffill_daily_15,China_ManufacturingPMI_ffill_daily_15,China_Output_水泥_Monthly_ffill_daily_15,CFETS_SpotFX_USD_CNY_ffill_daily_1
2015-04-28,26.02,26.02,800.0,20816.0,69448682.75,True,False,True,14948.57,3937713.0,5.4,44700000.0,61.13,1297418.0,64.83,7.0,2.483,6948.3,61.13,3497.0,12433.0,7.15,1.3758,44477544.61,30559.2,5487.93,154171.4,50.1,16138.5,6.2206
2015-04-29,23.46,23.46,380.0,8914.0,69457596.75,True,False,True,14948.57,3937713.0,5.4,44700000.0,61.07,1297418.0,64.64,7.0,2.521,6948.3,61.07,3497.0,12433.0,7.35,1.3758,44477544.61,30559.2,5487.93,154171.4,50.1,16138.5,6.2057
2015-04-30,25.81,25.81,1201.0,30997.0,69488593.75,True,False,True,14948.57,3937713.0,5.4,44700000.0,60.92,1297418.0,65.84,7.0,2.586,6948.3,60.92,3497.0,12433.0,7.46,1.3758,44477544.61,30559.2,5487.93,154171.4,50.1,16138.5,6.1997
2015-05-01,25.81,25.81,0.0,0.0,69488593.75,False,False,False,14948.57,3937713.0,5.4,44700000.0,60.92,1297418.0,66.78,7.0,2.73,6948.3,60.92,3497.0,12433.0,7.39,1.3758,44477544.61,30559.2,5487.93,154171.4,50.1,16138.5,6.2028
2015-05-02,25.81,25.81,0.0,0.0,69488593.75,False,False,False,14948.57,3937713.0,5.4,44700000.0,61.68,1297418.0,66.46,7.0,2.769,6948.3,61.68,3497.0,12433.0,7.48,1.3758,44477544.61,30559.2,5487.93,154171.4,50.1,16138.5,6.2028
2015-05-03,25.81,25.81,0.0,0.0,69488593.75,False,False,False,14948.57,3937713.0,5.4,44700000.0,61.68,1297418.0,66.46,7.0,2.769,6948.3,61.68,3497.0,12433.0,7.48,1.3758,44477544.61,30559.2,5487.93,154171.4,50.1,16138.5,6.2028
2015-05-04,28.39,28.39,2000.0,56780.0,69545373.75,True,False,True,14948.57,3937713.0,5.4,44700000.0,61.68,1297418.0,66.46,7.0,2.769,6948.3,61.68,3497.0,12433.0,7.48,1.3758,44477544.61,30559.2,5487.93,154171.4,50.1,16138.5,6.2028
2015-05-05,29.98,29.98,48300.0,1447800.0,70993173.75,True,False,True,14948.57,3937713.0,5.4,44700000.0,61.68,1297418.0,66.45,7.0,2.815,6948.3,61.68,3497.0,12433.0,7.58,1.3758,44477544.61,30559.2,5487.93,154171.4,50.1,16138.5,6.209
2015-05-06,32.98,32.98,2.0,65.96,70993239.71,True,False,True,14948.57,3937713.0,5.4,44700000.0,63.69,1297418.0,67.52,7.0,2.784,6948.3,63.69,3497.0,12433.0,7.55,1.3758,44477544.61,30559.2,5487.93,154171.4,50.1,16138.5,6.2062
2015-05-07,32.98,32.98,0.0,0.0,70993239.71,True,True,False,14948.57,3937713.0,5.4,44700000.0,63.29,1297418.0,67.77,7.0,2.774,6948.3,63.29,3497.0,12433.0,7.53,1.3758,44477544.61,30559.2,5487.93,154171.4,50.1,16138.5,6.2007
2015-05-08,32.98,32.98,0.0,0.0,70993239.71,True,True,False,14948.57,3937713.0,5.4,44700000.0,62.91,1297418.0,65.54,7.0,2.741,6948.3,62.91,3497.0,12433.0,7.43,1.3758,44477544.61,30559.2,5487.93,154171.4,50.1,16138.5,6.2069
2015-05-09,32.98,32.98,0.0,0.0,70993239.71,False,False,False,14948.57,3937713.0,5.4,44700000.0,62.03,1297418.0,65.39,7.0,2.864,6948.3,62.03,3497.0,12433.0,7.53,1.3758,44477544.61,30559.2,5487.93,154171.4,50.1,16138.5,6.2094
2015-05-10,32.98,32.98,0.0,0.0,70993239.71,False,False,False,14948.57,3937713.0,5.4,44700000.0,62.03,1297418.0,65.39,7.0,2.864,6948.3,62.03,3497.0,12433.0,7.53,1.3758,44477544.61,30559.2,5487.93,154171.4,50.1,16138.5,6.2094
2015-05-11,29.68,29.68,100.0,2968.0,70996207.71,True,False,True,14948.57,3937713.0,5.4,44700000.0,62.03,1297418.0,65.39,7.0,2.864,6948.3,62.03,3497.0,12433.0,7.53,1.3758,44477544.61,30559.2,5487.93,154171.4,50.1,16138.5,6.2094
2015-05-12,26.8,26.8,100.0,2680.0,70998887.71,True,False,True,14948.57,3937713.0,5.4,44700000.0,61.68,1297418.0,64.91,7.0,2.864,6948.3,61.68,3497.0,12433.0,7.62,1.3758,44477544.61,30559.2,5487.93,154171.4,50.1,16138.5,6.2096
